제목,답변상태,작성일,담당부서,작성내용,답변내용
을숙도 축구장은 시민과 구민들을 위한것입니까 그저 행사를 위해 만들어진 구장입니까,답변완료,2024-09-05 14:00:29,자치행정국 체육홍보과,축구장을 매번 행사로만 이용하게 두실 꺼면 굳이 인터넷 접수를 받을 이유가 없지 않습니까이건 일반인들은 한달에 한번 구장을 구하려고 밥도 안 먹고 기다리고 있는데구장을 잡을려고 하면 모두 행사 처리만 되어 있으니 공을 찰 수가 없네요행사를 하려고 만들어진 구장인지 아니면 시민과 주민들을 위한 구장을 만든 것인지 확인을 부탁드립니다.행사 일정을 조절을 해서 받으시던가 무슨 한달 전체를 행사로 사용하시면 구장 구할려고 기다리는 시민들과 주민들은 신경을 안쓰시는 겁니까,"1. 귀하께서 우리구 홈페이지를 통해 을숙도 인조잔디 축구장 이용과 관련하여 신고하신    민원에 대해 안내드립니다.2. 귀하의 민원내용은 을숙도 인조잔디 축구장 이용 및 운영에 관련된 것으로 판단되며 다음과 같이 답변드립니다.? 을숙도 인조잔디 축구장은「부산광역시 사하구 체육시설 관리?운영 조례」의 규정에 따라 운영하고 있으며 매년 9월과 10월의 경우 시단위, 구단위의 각종 체육 단체들의 대회 또는 행사가 부득이 집중되는 시기로 우리구 조례에 의거하여 사용허가의 우선순위에 따라 시설을 허가하고 있음을 양해바랍니다.3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 추가 설명이     필요한 경우 시설관리사업소 강봉근주무관(☎220-5855,5857)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.붙임  2024년9월10일-a0-민원상담목록번호234295 1부.  끝."
제석로 205번길 과학고 인도길,답변완료,2024-09-05 06:16:44,안전도시국 건설과,"며칠전 동원베네스트2차부터 과학고까지 인도 잡초제거 문의드렸는데등산로 입구쪽만 잡초제거가 되어있고 족구장까지 길과,과학고 입구쪽은 여전히 잡초가 인도쪽에 너무 많네요.잡초제거 하시는분이 거기까지만 한건지구청에서 거기까지만 하라고 한건지 궁금하네요.보이는곳만 하지말고 과학고 입구쪽까지전체 잡초제거 부탁드립니다 .등산객들도 이용하고 여러 주민들이 이용하는길인데깨끗하게 관리되었음 좋겠습니다.※ 첨부파일 :20240903_053144.jpg","1. 쾌적한 도로환경 조성을 위한 귀하의 관심에 감사드립니다.2. 귀하께서 말씀하신 당리동 산 4-8번지 일대 제초 작업 요청에 대하여 현장 확인 후 작업 완료하였음을 알려드립니다.3. 기타 문의사항이 있으실 경우, 사하구청 건설과 김종민 주무관(☎051-220-4665)에게 연락해주시면 친절히 안내하도록 하겠습니다.  끝.※ 첨부파일 :위치도 및 현장사진(당리동 산 4-8).hwp"
사하초 지하도 정비공사 언제 시작하나요?,답변완료,2024-09-05 22:54:48,안전도시국 건설과,"안녕하세요 수고 많으십니다. 저는 사하초등학교 학생의 학부모입니다.사하초등학교 통학을 위하여 길을 건너려면 많은 학생들이 지하도를 이용하는데요, 한번 가보시면 아시겠지만 아이들 통학로치고는 너무 버려져 있는 스산한 느낌의 길입니다. 계단도 들쭉날쭉하고요. 캐노피도 한 쪽으로만 설치되어 있습니다. 올 하반기 예산으로 당리에 있는 지하도처럼 문화예술 공간으로 탈바꿈 시키기 위하여 정비를 한다고 들었는데 언제쯤 시작하는지요? 여름방학이 벌써 다 끝났는데 너무 늦어지는 것은 아닌지 걱정됩니다.","1. 평소 구정 발전에 협조해 주셔서 감사드립니다.2. 귀하께서 접수하신 “사하초등학교 지하보도 정비공사” 사업 일정 문의와 관련하여, 현재 외부 캐노피 정비공사는 완료되었으며, 내부 정비공사는 연내 착공 예정임을 알려드립니다.3. 주민 불편 사항 해소를 위해 관련 사업을 조속히 시행하겠으며, 기타 문의사항은 사하구청 건설과 김종훈 주무관(051-220-4694)에게 연락주시면 친절히 답변 드리겠습니다.붙임 : 민원전문 1부.  끝."
감천 문화 마을에 쓰레기가,답변완료,2024-09-04 13:07:37,교통환경국 자원순환과,무더운 날씨에 수고가 많으십니다. 다름이 아니오라 간만에 감천 문화 마을을 찾았다가 쓰레기 더미 만 보고 감짝 놀라서  아직도 이런 염치 없는 사람이 사하구에 함께 살고 있다는게 부끄럽습니다. 우리나라는 물론이고 세계적인 명소로 자리 잡고 있는 감천 문화 마을에 쓰레기가 말이 됩니까 빨리 cctv를 돌려서라도 잡아내어 다시는 이런짖을 못하게 과태료를 부과 해주시고 쓰레기는 빨리 처리 부탁드립니다※ 첨부파일 :2.jpg1.jpg3.jpg,"1. 안녕하십니까? 귀하의 민원사항에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “감내1로 205 인근 무단투기 쓰레기 수거”에 관한 것으로 이해     되며 검토 의견은 다음과 같습니다.가. 귀하께서 제보하신 위치에 있는 폐기물은 즉시 수거 완료하였으며, 무단투기금지        현수막을 게첨하여 주민과 관광객을 대상으로 계도도 실시하였습니다. 주변           CCTV도 확인하여 행정처분이 가능하면 조치하도록 하겠습니다.나. 감천문화마을 일원이 더 깨끗하게 유지될 수 있도록 노력하겠습니다.3. 답변 내용에 대한 추가 설명이 필요한 경우 사하구청 자원순환과(☏051-220-4436)로     연락주시면 안내해 드리겠습니다.붙임  1. 2024년9월12일-a0-민원상담목록번호234143.2. 현장조치사진.  끝.※ 첨부파일 :현장조치사진.zip"
괴정골목시장 입구 택시 주정차 단속 요청,답변완료,2024-09-04 09:09:45,교통환경국 주차관리과,괴정골목시장 입구 올리브영 매장 부터 횡단보도까지출퇴근 시 주정차 택시로 인하여 차량통행에 어려움이 많고 사고의 위험이 높습니다.특히나 퇴근 시에는 통근버스를 비롯하여 대형차 등 많은 차량이 몰려드는데 택시들이 한 차선을모두 점령하고 있어 항상 차가 막히고 모든 차량들이 차선을 두개 차선을 반반씩 물고 위험하게 운행을 하고 있습니다.시장에서 나오는 손님을 태우기 위해서 정차를 하고 있는건 알겠지만수십대의 차량이 피해를 보고 있고 항상 위험하게 운전을 하고 있습니다.모든 차량이 불편하지 않게 위험하지 않게 안전운전 할 수 있도록 단속 및 개선조치 요청드리겠습니다.수고하십시오.,"1. 귀하께서 국민신문고에 제출하여 우리 구로 이첩된 민원에 대하여 다음과 같이 답변 드립니다.2. 귀하의 민원내용은 “불법주정차 단속요청”에 관한 것으로 판단됩니다.3. 귀하의 질의사항에 대한 검토의견은 다음과 같습니다.가. 우선 귀하께서 해당 지역의 불법주차로 불편을 겪으신 점 송구스럽게 생각합니다.나. 해당 지역에 대하여는 이동식 단속 차량을 이용하여 주차단속을 하고 있으나, 주차단속업무의 특성상 단속 당시에만 효과가 있어 단속에 애로사항이 많은 점 넓은 마음으로 이해하여 주시기 바랍니다.다. 해당 지역에 대해서는 이동식 단속차량을 통한 주차계도 및 단속을 실시하여 불법주차로 인한 귀하의 불편사항이 최소화되도록 하겠습니다.4. 해당 지역의 불법주정차로 인해 생활불편이 발생될 시, 평일 09:00~18:00에는 교통행정과(☎220-4561~5)로, 평일 야간 및 공휴일에는 구청당직실(☎220-4222)로 신고하여 주시면 신속히 불편사항을 처리해 드리겠습니다.5. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 교통행정과(이성훈, ☎220-4562)로 문의하시면 성심껏 답변 드리겠습니다."
작은 도서관은 어린이복합공간으로 바뀐다고 합니다. 어른용 도서관은 없습니까?,답변완료,2024-09-04 12:50:03,문화관광교육국 평생교육과,"사하구에 동마다 작은 도서관이 있는데, 그 도서관이 어린이 복합공간으로 바뀌면, 성인은 어디 가나요???작은 도서관을 사용하는 사람 중 대부분이 어른이고, 각자 자격증 같은 거 공부하는데...왜 실질적으로 이용하는 사람을 위한, 열람실은 만들지 않고...이용자가 적은 어린이 도서관만 만드나요???어린이가 줄어들어, 유치원을 실버타운으로 변환하는 시대에 재정낭비 아닙니까??최소한 작은 도서관을 실질적으로 사용하는 사람들에게 설문 등 과 같은 조사를 한 후, 변경이 이루어져야 하는 거 아닐까요???","1. 구정에 대한 관심과 협조에 감사드립니다.2. 귀하께서 신청하신 민원(접수번호 202409041250030255)에 대해 다음과 같이 알려 드립니다.3. 귀하의 상담민원 내용은 “작은도서관의 어린이복합문화공간 조성”에 관한 것으로,- 부산시에서는 15분도시 생활권사업 일환으로, 도서관, 문화시설 등에 아날로그(책)와디지털콘텐츠를 융합한 공간인 「어린이복합문화공간 조성사업」추진을 위해          2021년부터 구ㆍ군공모를 통해 조성사업비(70)와 운영비(4년간)를 지원하고 있습니다.- 우리 구는 15개 작은도서관을 운영하고 있으며, 열악한 구 재정상황을 고려하여      「어린이복합문화공간 조성」공모를 통해 작은도서관 시설개선비 및 운영비를 지원      받기 위해 노력하고 있습니다.- 또한, 어린이복합문화공간으로 운영되는 작은도서관의 공간 조성시에는 어린이 및 일반인들이 모두 이용할 수 있는 복합문화공간으로 조성하기 위해 기존 시설(일반 자료실 등)은 되도록 유지하고 필요 부분만 시설을 개선하였으며, 디지털 장비도 어린이 자료실 내에 주로 설치한 점 참고하여 주시기 바랍니다.4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 위 답변과 관련하여 추가 문의하실 사항이 있으시면 사하구청 평생교육과(하미라 ☎051-220-4832)로 연락주시기 바랍니다. 감사합니다."
당리동 동원베네스트 2차 과학고 가는길 인도 잡초제거 부탁드립니다,답변완료,2024-09-03 06:08:27,안전도시국 건설과,당리동 동원베네스트2차에서 부터 과학고로 가는 인도에잡초가 무성하게 자라있습니다.등산로는 제초작업 하는거 같은데정작 사람이 다니는 인도는 제초작업을 하지 않아사람이 다닐 공간이 없네요빠른 처리 부탁드립니다※ 첨부파일 :20240903_053429.jpg,"1. 쾌적한 도로환경 조성을 위한 귀하의 관심에 감사드립니다.2. 귀하께서 말씀하신 당리동 산 4-8번지 보도 일원 제초 작업 요청에 대하여 현장 확인 후 작업 진행 중임을 알려드립니다.3. 현재 제초 관련 민원이 많아 여러 구간에 대한 작업을 동시에 진행 중인 관계로 작업 완료까지는 시간이 다소 소요됨을 양해해주시기 바랍니다.3. 기타 문의사항이 있으실 경우, 사하구청 건설과 김종민 주무관(☎051-220-4665)에게 연락해주시면 친절히 안내하도록 하겠습니다.  끝.※ 첨부파일 :위치도 및 현장사진(당리동 산 4-8).hwp"
신평 레포츠 공원 족구장 설치 건,답변완료,2024-09-02 12:34:23,자치행정국 체육홍보과,수고 하십니다.신평 레포츠 공원에서 개방형 체육관이 입주하기전 족구장에서 족구를 하던 족구 팀입니다. 회원이 사하구 거주 인원만 25명 이상 이었는데 개방형 체육관이 들어서면서 운동장이 없어 현재는 사상구 족구장에서 운동을 하는중입니다.1년 사용료가 전기료외 구장 이용료를 합해서 백만원 이상을 주고 억지 아닌 억지의 이용료를 주면서 구장을 사용합니다.처음 개방형 체육관이 공사를 하기전에 공사가 끝나면 운동장옆에 족구장을 지어 준다고 했는데 답이 없네요.사하구민이 족구 운동장이 없어 사상구에다 돈을 주면서 운둥 하는게 아닌것 같습니다.개방형 체육관 옆 공터에 족구장을 만들어 주었어면 합니다.,"1. 안녕하십니까? 평소 구정에 많은 관심을 가져주신데 감사드립니다.2. 귀하께서 문의하신 내용은 ‘신평레포츠공원 내 족구장 설치 요청’으로 판단됩니다.3. 요청하신 신평레포츠공원은 현장 확인 결과 새로 족구장을 조성하기에 공간이 충분하지 못한 것으로 판단됩니다. 대신 다대레포츠광장(다대동 1589), 해양경찰정비창에 족구장이 조성되어 있으니 해당 시설물을 이용하여 주시면 감사하겠습니다.▷ 문의전화 다대레포츠광장(220-5851), 해양경찰정비창(220-4125)그럼에도 불구하고 주민들의 수요에 비해 우리구 족구장이 충분히 조성되어있지 못함에 깊이 공감하는바, 추후 대체부지 선정과 족구장 조성에 적극 노력하도록 하겠습니다.4. 귀하의 요청에 만족스러운 답변이 되었기를 바랍니다. 답변 내용에 대하여 추가 설명이 필요한 경우 체육홍보과 체육지원계(☎220-4124)로 문의하여 주시기 바랍니다. 감사합니다.  끝."
다산로 182 인근 인도 위 잡초 제거 부탁드립니다,답변완료,2024-09-02 12:46:43,안전도시국 건설과,인도 위를 잡초가 덮어서 걸어다니는데 지장이 많습니다 잡초 제거 부탁드리겠습니다※ 첨부파일 :KakaoTalk_20240902_123745644_02.jpgKakaoTalk_20240902_123745644_01.jpg,"1. 쾌적한 도로환경 조성을 위한 귀하의 관심에 감사드립니다.2. 귀하께서 말씀하신 다산로 182 앞 보도 일대 제초 작업 요청에 대하여 현장 확인 후 작업 완료하였음을 알려드립니다.3. 기타 문의사항이 있으실 경우, 사하구청 건설과 김종민 주무관(☎051-220-4665)에게 연락해주시면 친절히 안내하도록 하겠습니다.  끝.※ 첨부파일 :위치도 및 현장사진(다산로 182).hwp"
넝쿨 및 잡초제거 요청,답변완료,2024-09-01 09:49:58,교통환경국 산림녹지과,다대2동 매립지 운동트랙 옆 화장실에서 대선조선 가는 길 인도 휀스 옆에서 넘어온 넝쿨류 와나무 식수대에 잡초가 무성하여 산책시 불편하니 현장확인 후 정비 하여 주시기 바랍니다.,"1. 우리구 녹지행정 발전에 관심을 가져주신 데 대하여 깊은 감사를 드립니다.2. 귀하께서 신청하신 민원사항에 대하여 다음과 같이 회신합니다.가. 민원요지○ 다송로 가로수 식수대 및 넝쿨 정비 요청나. 답변요지○ 귀하께서 말씀하신 다송로 가로수 식수대 및 넝쿨 정비는 2024. 9. 5.(목) 완료되었음을 알려드립니다.3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 사하구 산림녹지과(☎220-4535)로 연락주시면 성실히 안내드리겠습니다. 감사합니다.붙임  상담민원내용 1부.  끝."
예초기 작업,답변완료,2024-09-01 19:21:58,안전도시국 건설과,옥천로64번길 소방도로공사 잡초제거 해주세요.저번에 했는데 잡초가 또 많이 자라서 다니는 길이 안보일정도입니다모기.벌레들도 많습니다.공사는 하되 다니는길은 이렇게두면 안돼는아닙니까?※ 첨부파일 :20240901_161318.jpg20240901_161327.jpg20240901_161259.jpg,"1. 쾌적한 도로환경 조성을 위한 귀하의 관심에 감사드립니다.2. 도로 상 자라나는 잡초의 경우, 숫자가 많고 분포하는 면적이 매우 넓어 모두 즉시 정비하기 어려움을 양해해주시기 바랍니다.3. 우리 구에서는 보행자 통행이 많은 구간을 우선으로 하여 제초 작업 중에 있으며,귀하께서 건의하신 구간을 향후 제초 작업 일정에 반영토록 노력하겠습니다.4. 기타 문의사항이 있으실 경우, 건설과 도로관리계 김종민 주무관(☎051-220-4665)에게 연락해주시면 친절히 안내하도록 하겠습니다.  끝.※ 첨부파일 :위치도 및 현장사진.hwp"
다대포 낙조분수 애견출입 답변 재문의,답변완료,2024-08-31 00:20:12,시설관리사업소,이전 낙조분수 애견출입관련 문의를 드렸는데 분수대는 물놀이형 수경시설 관리제도 가이드라인에 따라 수질 및 위생권고 사항으로 반려견의 진입을 금지하고 있습니다. 반려견을 데리고 분수에 진입하는 것을 허용 할 경우 반려견의 배변 등으로 수경 시설물이 오염될 수도 있고 바닥에 설치된 시설물로 인하여 반려견이 다칠 수도 있기 때문입니다.위 답변을 받았는데 낙조분수 인근 광장 전체가 애견출입금지구역인가요?분수 인근이 아닌 사람들 앉으라고 비치되어있는 의자 뒷쪽에서 안고 보고있는데 출입안된다고 나가라고 하던데 뭐가 맞는걸까요?그리고 답변내용중 소형견의 경우 안고 구경하는건 괜찮다고 답변 주셨던데 제가 쫓겨났을 때가 소형견을 안고 구경하였을 때 입니다구청이 가능하다고 한 부분은 관리하시는 분들에게 인지시켜 이런일이 재발하지 않았음 좋겠네요,"1. 안녕하십니까? 평소 구정에 많은 관심을 가져주신데 감사드립니다.2. 귀하께서 문의하신 다대포 낙조분수 애견출입 답변 재문의에 대하여 다음과 같이 답변드립니다.3. 낙조분수 현장근무자에게 애완견을 산책시키는 관람객은 분수에 들어갈 수 없지만 안고 지나갈 수는 있다고 교육하고 있으나, 근무자가 애견을 동반한 관람객을 과도하게 제지한 것으로 보입니다. 이에 낙조분수 현장근무자 전원에게 반려견 동반 관람객에 대한 안내 교육을 지속적으로 진행하겠습니다.4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 기타 궁금한 사항은 시설관리사업소 조남웅 주무관(☎051-220-5892)에게 연락주시면 성실히 답변드리겠습니다. 감사합니다.  끝."
사하구청버스가 아침마다 정차해있어서 불편합니다.,답변완료,2024-08-30 09:07:42,교통환경국 주차관리과,아침 출근 시간에 구청노상공영주차장 앞 횡단보도 쪽으로 사하구청버스가 매일 정차를 하고 있어서노상공영주차장으로 진입하는 차들이 뒤를 따라 정차해야 하는 상황이 생깁니다.버스가 횡단보도의 절반이상을 차지하고 정차하고 있으니버스를 돌아서 들어가려고 해도 반대쪽 차들과 부딪히는 상황이 생겨 결국 다른 길로 돌아가야 하는 상황이 생겼습니다.경적을 울리고 두어대정도 차들이 돌아가는 상황이 생긴 후에야 버스가 움직이던데결국 사하구청으로 들어가는 구청버스 였습니다.이건 무슨 상황으로 받아들여야 할까요?정차 위치가 구청 바로 앞이였는데 왜 정차를 하고 기다렸는지 이해할 수가 없었고그로 인해 다른 차들이 왜 불편을 겪어야 하는지 알 수 없었습니다.이해가 되질 않습니다.,"1. 귀하께서 자체접수하여 신청하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “구청 통근버스 불법주정차 시정요청”에 관한 것으로 판단됩니다.3. 귀하의 질의사항에 대한 검토의견은 다음과 같습니다.가. 우선 귀하께서 해당 지역의 해당차량으로 불편을 겪으신 점 송구스럽게 생각합니다.나. 해당 차량 확인 후 차량 담당자에게 전달하여 차후 불법주정차로 인한 귀하의 불편사항이 최소화되도록 하겠습니다.4. 해당 지역의 불법주정차로 인해 생활불편이 발생될 시, 평일 09:00~18:00에는 주차관리과(☎220-4561~5)로, 평일 야간 및 공휴일에는 구청당직실(☎220-4222)로 신고하여 주시면 신속히 불편사항을 처리해 드리겠습니다.5. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 주차관리과(이성훈, ☎220-4562)로 문의하시면 성심껏 답변 드리겠습니다."
"당리동 309-3번지 성림아파트 뒤쪽인 산쪽 줄기나무,풀 및 나무 좀 처리 요망",답변완료,2024-08-30 12:24:11,교통환경국 산림녹지과,"당리동 309-3번지 성림아파트 뒤쪽인 산쪽으로 줄기나무, 풀 및 나무 좀 처리 요망저의 아파트는 산과 주택의 경계(벽)가 없어 줄기나무가 노출된 전선을 휘감아 몇 차례 정리가 이루어지나근본적인 해결이 안되고 풀이 너무 자라서 인 그 곳 에다 음식물 쓰리기 및 일반쓰레기를 무단투기하여  접해있는가구는 여름에 문을 열어 놓으면 악취가 올라와서 정말 기본적인 행복마저 박탈당한 느낌입니다.제말 조속한 조치 부탁드립니다.","1. 우리 구정 발전과 산림업무에 관심을 가져주셔서 감사드립니다.2. 귀하께서 건의하신 민원(상담민원목록번호 : 233340)에 대하여 다음과 같이 답변드립니다.가. 민원요지○ 당리동 180번지 일원(성림아파트 뒤) 정비 요청나. 답변요지○ 귀하께서 말씀하신 당리동 180번지 일원(성림아파트 뒤)은 사유지로 확인되어 해당 수목의 정비는 토지소유주의 관리 사항이므로 직접적인 작업이 어려운 점 양해 부탁드리며,○ 정비 작업 시행을 위하여 해당 민원 내용을 토지소유주에게 전달 및 안내토록 하겠습니다.3. 기타 추가 설명이나 궁금한 사항이 있으시면, 사하구 산림녹지과(☎051-220-4539)로 연락주시면 친절히 답변드리겠습니다."
도로진입시 사고 우려,답변완료,2024-08-29 13:13:21,교통환경국 교통행정과,"수고하십니다.신산북로33번길에 여러 업체가 있고 렌트카 업체도 최근에 입주되어 통행량이 많은 내리막길이 있습니다.내리막길에서 도로 진입시 좌우에 장애물과 건물로 인해서 좌측우측 시야 확보가 어려워서 사고의 위험성이 매우큽니다.구민의 안전을 위해 반사경 설치를 요청 드립니다.사하구청의 안전·보건 경영 방침처럼 구민의 위험 요인을 사전에 파악하고 위험성을 평가하고 개선하고 안전·보건 확보를 하고사업장의 위험 요인 제거통제를 위한 충분한 인적물적 자원을 제공함에 실천해 주시기를 희망합니다.구청은 구민의 민원을 받아서 안전·보건 방침의 실현을 위하여 모든 구성원의 안전·보건 활동에 대한 책임과 의무를 다해주시기 바라며,구민의 안전을 위해 현장 방문 후 조속히 조치 부탁드립니다.감사합니다.※ 첨부파일 :좌측시야.jpg우측시야.jpg","1. 안녕하십니까? 평소 우리 구정 업무에 관심을 가져주셔서 감사드리며, 귀하께서 신청하신 민원(신청번호 202408291313219322)에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “신산북로 33 일원 반사경 설치 요청”에 관한 사항으로 판단되며, 반사경 설치가 가능한 구간을 검토하여 조속히 조치하도록 하겠습니다.3. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 사하구 교통행정과 (☏051-220-0192)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.붙임  민원내용 1부.  끝."
불법주정차단속여부 확인되나요?,답변완료,2024-08-28 14:55:26,교통환경국 주차관리과,8월 27일 밤 9시 25분경 몰운대 우체국 근방 횡단보도에서 사람이 갑자기 쓰러지는 것을 목격하여 구호조치를 한다고 10여분간 인근에 차를 잠시 정차를 시켜놓고 있었는데요. 이후 소방관들이 오셔서 쓰러진 사람을 인계한 후에 떠났습니다.그런데 휴대폰을 확인해보니 불법주정차 경고 알람이 왔더라고요. 내가 언제 떠났는지를 알 수가 없다보니 찍힌건지 아닌건지 알 수가 없어서 문의드립니다.,"1. 귀하께서 자체접수하여 신청하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “불법주정차 단속여부확인요청”에 관한 것으로 판단됩니다.3. 귀하의 질의사항에 대한 검토의견은 다음과 같습니다.- 민원인께서 사하구청 주차관리과(051-220-4561~5)으로 전화주시면 차량번호확인 후 단속여부 및 감면등 안내 드리겠습니다,4.. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 주차관리과(이성훈, ☎220-4562)로 문의하시면 성심껏 답변 드리겠습니다."
을숙도대로 교차로 사하경찰서방향 좌회전 차로에 끼어드는 3차로얌체족 단속 바랍니다,이송이첩,2024-08-28 09:47:01,없음,아침 출근 시간에 거의 항상 다대포 방향 을숙도대로 교차로 사하경찰서 방향으로의 좌회전 차로에3차선에서 2차로로 끼어드는 무지성 얌체 끼어들기가 너무너무너무너무너무 심합니다.그 때문에 직진하려는 차들도 서야되고 상당한 교통체증을 유발하고 있습니다.특히 고놈의 화물차들 진짜 볼 때마다 욕 나옵니다큰 덩치로 그냥 무대포로 밀어부치는거 같은데 그 못 생긴 면상 한번 보고 싶을 정도네요 ㅂㄷㅂㄷ교차로 신호 하나하나 바뀌는거 기다려가며 1차로에서 줄서서 꾸역꾸역 뒤에서 온 차량만 바보가 되고 지각을 하는 상황이 생깁니다.저기 대동IC 부산 들어가는 방향에 있는 차선변경금지 카메라나 차단봉을 좀 억수로 길게 설치해 주세요.(저기 강변대로 신천지 교회 가는 부근 유턴하는 차로 처럼 차단봉 길게 설치)거짓말 아니고 진짜 아침 출근 시간에 교통경찰관 분들 단속하시면 세수확보에 상당히 도움되실 겁니다.꼭 좀 해결해주세요 아침 출근때마다 x놈의 얌체족 때문에 화가 치밀어 오릅니다 ㅂㄷㅂㄷ,없음
고정형 불법단속 카메라 설치요청,이송이첩,2024-08-28 09:55:05,없음,"안녕하세요 수고가 많으십니다출근 동선중 단 하루도 빠짐없이 늘 위반차량이 발생되는 구역이 있어 제보, 건의 드리고자 합니다.간간히 불법 차량들은 안전신문고로 신고했지만 일부 차량의 문제는 아니다보니 전혀 개선이 되고 있지 않습니다.(명백히 위반으로 과태료도 7만원이나 되는 큰 부분입니다)신평 아즈텍WB 회사를 지나 교차로 부분 건의건 입니다. (신평동 665)1차로 좌(직진금지 차선), 2차로 좌직진 차선인데 1차로에서 대부분의 차들이 직진을 합니다.2차로에서 좌회전하는 차량이 있을경우, 1차로 위반차량으로 인하여 대형사고 발생 위험이 큽니다.위반 차량이 가끔 생기는것도 아니고 정말, 매일 출근시마다 목격합니다.정상적으로 직진을 위해서 2차로에서 대기하다보면 줄이 길어서 신호를 한번에 못 받는 경우도 허다한데얌체같이 위반을 해서 앞서 질주하는 모습을 너무 많이 보게됩니다본인의 감정을 떠나 사고 위험률이 너무 높은 구간으로써 제도적 제재가 필요할듯 하여 건의드리오니검토후 CCTV 설치를 요청드리는바입니다.추가로, 예산등 제반적인 문제로 CCTV 설치가 불가할 경우는 운행기준 변경도 검토부탁드립니다.예) 1차로 : 유지 (직진금지, 좌회전) or 운행방법 변경 (직진금지, 좌회전 → 좌직 모두 가능)2차로 : 운행방법 변경 (좌직진 → 직진만 가능)",없음
청년기업 인증을 해주세요,답변완료,2024-08-26 14:35:16,경제혁신국 경제일자리과,"부산광역시 사하구는 사하구 청년기업 육성 및 지원조례에 근거하여 청년기업을 인증해주고 있습니다.동시에 저는 사하구에 거주하는 주민이자 청년으로서법인을 설립해 운영하고 있습니다.지역사회에 이바지되는 일에 청춘을 쏟고자 하였고,현재 사회복지분야를 주 사업으로 삼고 있습니다.그러나 [부산광역시 사하구 청년기업 육성 및 지원 조례]의제2조 2항의 「중소기업기본법」제2조제1항제1호에 따른 기업일 것이라는 근거로 인해 [비영리법인]은 청년기업으로 인증을 받지 못하는 실태입니다.사하구청은 관련법 제 1조(목적: 이 조례는 부산광역시 사하구 청년기업의 활동을 적극적으로 지원함으로써 청년기업 육성을 통한 경제활동 촉진과 지역경제 발전에 이바지함을 목적으로 한다.)에 근거한 내용을 보면 [영리  비영리]를 떠나 저도 분명 지역에서 일자리를 창출하고 이바지 하고 있음에도 불구하고, [영리]사업자만 청년대표로 인정하고 있습니다.사하구에서 더 열심히 활동하는 비영리 법인 사업자의 청년대표가 되기를 희망합니다.제2조 2항의 의 범위를 넓혀주세요.","1. 안녕하십니까? 귀하께서 새올 상담민원으로 신청하신 민원에 대한 검토 결과를 다음과     같이 알려드립니다.2. 귀하의 민원 내용은  사하구 청년기업 육성 및 지원조례에 근거한 청년기업 대상 확대 요구     건에 대한 내용으로 판단되며, 검토 의견은 다음과 같습니다.가. 우선 우리 구 ‘청년기업 인증제’에 깊은 관심 가져 주셔서 감사드립니다.나. 사하구 청년기업 인증제‘은 『사하구 청년기업 육성 및 지원조례』 제2조 2항에 의거       『중소기업기본법』 제2조제1항제1호에 해당하는 기업을 규정하고 있습니다.다. 이에 따라 귀하의 기업은 우리 구 『청년 기업 육성 및 지원 조례』의 제2조 2항2에 해당      하는 기업이 아니므로, ‘청년 기업 인증’을 할 수 없음을 알려드리니 양해해주시기      바랍니다.라. 향후 귀하의 의견을 반영하여 ‘사하구 청년 기업 육성 및 지원 조례’의 기업              범위 확대 조례 개정을 적극적으로 검토하도록 하겠습니다.3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이      필요한 경우 사하구청 경제진흥과 박희정 주무관(☏051-220-4464)에게 연락주시면      친절히 안내해 드리도록 하겠습니다. 감사합니다.  끝."
