제목,작성일,답변상태,담당부서,민원내용,답변내용
1) 민원 2022. 06 23일자 번호 231631번 농구장 전등 교체건,2022-12-28,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 부산광역시 동래구
 * 이송(추천)사유 : 해운대구 관할구역이 아닌것으로 파악됨

[담당자:백정선, 연락처:051)749-6036]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.",제목에 대한 건은 언제 처리가 가능 한지요,없음
반여1동 센텀대림옆 수영강변 운동시설 부근 화장실 신설건,2022-12-28,답변완료,도시안전국 건설과,"상기 제목 장소에 하장실이 없어서 불편함이 많습니다.
화장실 있는 장소로 안내됀 표시에는 원동역 800m, 반대편쪽은 500m에 있다고 되어있으나 이 거리느 상당히 먼거리 입니다.
간혹 학생들이 강쪽 갈대밭에서, 어떤사람은 지상 도로를 받치고 있는 기둥 옆에서 방뇨하는 경우를 봅니다,
- 서울은 공원의 화장실 간 거리가 400m 라고 들었습니다만, -","1. 평소 구정 발전에 많은 관심을 가져주셔서 감사드리며, 귀하께서 온라인 상담민원을 통해 요청한 사항에 대하여 검토한 결과를 알려드립니다.
2. 귀하께서 제안하신 수영강변 화장실 설치 요청 구간은 우리 구 ‘2023년 수영강변 공중화장실 신축공사’ 계획 대상지에 해당하며, 현재 국가하천 관리청(낙동강유역청)의 하천점용 협의 등 절차이행 예정임을 알려드립니다.
3. 수영강변 화장실 이용에 불편을 드린 점 양해 부탁드리며, 기타 궁금한 사항은 건설과 하천하수팀(749-6036)으로 문의하여 주시면 성심껏 답변 드리겠습니다."
차량에 시멘트가루가 떨어졌어요,2022-12-26,답변완료,도시안전국 건축과,"12월 14일 수요일 차량에 시멘트가튀어서 세차랑 코팅까지 같이해야 얼룩이 안남는다고 하는데
피해본지 보름이 다되어가는데 아직까지도 업체에선 서로 미루는듯하네요
빠른해결 좀 부탁드립니다 이글보시는분들 근처 아파트신축하는곳 근처에 주차하실떄는 항상 차량 을 둘러보세요
예전에 스펀지쪽에 공사할떄는 빠르게 세차 코팅 했었는데 이번엔 너무 미루네요..

※ 첨부파일 :
KakaoTalk_20221226_145153758_03.jpg
KakaoTalk_20221226_145153758_02.jpg
KakaoTalk_20221226_154724696_02.jpg","1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청한 민원이 우리 구에 이송되어 이에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하께서 문의한 내용은 주택건설사업장에서 날린 시멘트로 인한 차량 피해에 관한 것으로 판단되며, 검토한 의견은 다음과 같습니다.

○ 우선, 주택건설사업장 공사로 인한 불편 및 피해에 대해 유감스럽게 생각하며, 요청하신 피해 보상사항에 대해서는 인근 공사 중인 우동 548-38번지 일원 주택건설사업장, 우동 548번지 일원 주택건설사업장 시공자에게 민원사항 통지하고 유사 피해가 발생되지 않도록 현장 관리에 철저를 기하도록 지시하였음을 알려드립니다.

3. 귀하께서 제출한 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 건축과 곽아영 주무관(☎ 749-4602)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝."
신호등 고장,2022-12-24,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 부산광역시
 * 이송(추천)사유 : 신호등 고장 관련, 귀 기관에서 처리할 사항으로 판단되어 이송합니다.

[담당자:정복희, 연락처:051-749-4268]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","안녕하세요
반여1동 한화꿈에그린 후문앞에 신호등이 고장났습니다.
차량에서 보는 신호중에 롯데3차에서 장산초등학교 방향의 신호등이
꺼져있습니다. 그래서 그방향 직진차량이 우왕좌왕 하다 사고 위험이 있습니다.
조속한 처리 부탁드립니다.",없음
보도블럭파임,2022-12-24,답변완료,도시안전국 도시관리과,재송삼익후문 세차장 앞을 새벽출근중 유독 cctv기둥 그림자에가려져 보도블럭이 후~욱파인지모르고 걷다가 발목을 엎질러 며칠을 아파 고생했어요. 새벽 추운날 눈물나게 아팠어요. 쪼금 젊은 저도 힘들었는데 어르신들은 크게다치겠구나 싶어 문자남깁니다.,"1. 평소 구정 발전에 많은 관심을 가져주셔서 감사드리며 귀하께서 온라인 상담민원을 통해 신청하신 민원에 대한 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원은 ‘인도 보도블럭 정비’에 관한 문의로 이해됩니다. 질의사항에 대한 회신 내용은 다음과 같습니다.
가. 재송동 179-134 재송삼익아파트 후문 부근 인도변 보도블럭 민원 건은 12.28.자 현장확인 후 정비 완료 하였습니다.
나. 향후에도 주변일대의 지속적인 순찰을 통해 쾌적한 도로환경을 확보할 수 있도록 적극 노력하겠습니다.
3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 위 내용에 대한 추가 설명이 필요한 경우 해운대구 도시관리과 남상민 주무관(☎749-4285)에게 연락주시면 성심껏 안내해 드리겠습니다. 감사합니다."
위반장소를 특정하지 못하는 15년전 주정차위반 과태료 고지에 대한 이의,2022-12-23,답변완료,교통환경국 주차행정과,"해운대구 납부번호 33301910000200763288125013305004
며칠전 위 고지서로 처음으로 고지받은 내용입니다

적발일시:2007.2.11 14:03
적발장소:좌동

15년전 적발내용 이라는데 구청직원과 통화하니 사진도없고 위반장소도 특정하지 못하였습니다.
현재 본인은 국가나 지방자치단체의 국세, 지방세, 과태료 등 정당하게 고지받은 사항에 대해 단 한건의 미납도 없는 상태입니다.
이에 15년이 지난 지금에 와서 특정하지도 못하는 위반에 기하여 고지서를 불쑥 내미는 것은 납부하면 말고식 내지 행정착오라고 밖에 보이지 않아 이에 납부에 응할 수 없어 이의합니다,","안녕하십니까?
귀하는 주정차위반과태료 고지서를 받고 이의를 제기하시었고 그 내용은 아래 두가지로 요약됩니다.
1. 15년이 지난 지금 고지서를 받은 점
2. 15년전 적발 장소가 ‘좌동으로 구체적인 장소가 특정되지 않았고 적발 사진이 없는 점.
먼저 1번에 대하여 답변 드리겠습니다.
받으신 과태료는 2007.01.02.에 위반한 건이고 2007.03.23.에 고지서를 발송하였으나 납부되지 않아 2007.05.22.에 독촉고지서를 발송하였으며 그것도 납부되지 않아 2007.08.31.에 압류고지서를 발송하였고 그것도 납부되지 않아 그 이후에도 2년에 한번 체납고지서를 발송하였습니다.
하지만 귀하는 15년 만에 처음 고지서를 받으셨다고 하시니 어떻게 그동안 귀하에게 고지서가 한번도 전달되지 않았는지 매우 의아하게 생각되나 고지서 우편의 전달은 우체국의 업무이고 또한 이미 매우 오래전의 일이라 그 경위는 저희도 알기 어렵습니다. 귀하의 말씀대로 다른 지자체의 과태료는 전부 납부하여 미납건이 없는 것을 보면 고지서가 귀하에게 전달되었다면 과태료를 이미 납부하셨을텐데 고지서가 이제서야 귀하에게 도착하게 된 점 송구스럽게 생각합니다.
다음은 2번에 대하여 답변 드리겠습니다.
단속 자료에 대하여는, 당시 단속 자료가 현재는 부존재하여 정확한 정보를 알려드리기 어려운 점 송구스럽게 생각합니다. 다만 이에 대해 불복하시는 경우 비송사건절차법에 의거 이의 신청이 가능합니다. 이의신청 시 첨부된 이의신청서 작성 후 메일(dodkdl100@korea.kr)로 보내 보내주시면 되고 기타 자료를 보유하고 있을 시에는 함께 발송 부탁드립니다. 이의신청서는 순차적으로 법원 이송 예정이며 판결까지 예상소요기간은 약 4~6개월입니다.
더 궁금한 사항이 있으시면 1번에 대하여는 051-749-4575로, 2번에 대하여는 051-749-4566으로 전화주시면 상세히 알려드리겠습니다.

붙임 1. 2022년12월29일-a0-민원상담목록번호257201.
2. 주정차위반에대한의견진술(이의신청)서(서식).

※ 첨부파일 :
주정차위반에대한의견진술(이의신청)서(서식).hwp"
센텀동로71번지 일원 주차단속좀해주세요,2022-12-23,답변완료,교통환경국 주차행정과,"센텀동로71번지 일원은 수많은 직장인들 때문에 유동인구가 많은데 수많은 불법주차된 차들로 인해 사람들이 시야에 가려져요
특히 교차로는 더 심함
도로갓길 양옆은 수백미터 불법주차로 가득차있습니다
앞전에도 민원넣어봤지만 전혀 개선되고있지않아요
사진좀 보시고 주차단속좀 강력하게해주세요

※ 첨부파일 :
KakaoTalk_20221223_175146541_01.jpg
KakaoTalk_20221223_175146541.jpg
KakaoTalk_20221223_175146541_02.jpg","1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 센텀동로71 주변 도로 불법주정차에 대한 것으로 판단됩니다.
3. 단속요청하신 지역은 현장단속반이 수시 순찰, 단속 중이며, 일평균 불법주정차량 10대 계도 및 12.1.~현재까지 이동불응차량 17대 과태료 처분 하였습니다. 앞으로도 해당 지역에 지속적으로 관심을 가지며 주민불편사항이 최소화 될 수 있도록 노력하겠습니다.
4. 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 주차행정과 주무관 이시온(☏051-749-4566)에게 연락주시면 안내해 드리도록 하겠습니다. 감사합니다.

붙임 1. 2022년12월30일-a0-민원상담목록번호257277.
2. KakaoTalk2022122317514654101.
3. KakaoTalk20221223175146541.
4. KakaoTalk2022122317514654102. 끝."
한라비발디 공사 소음때문에 미칩니다.,2022-12-22,답변완료,교통환경국 환경위생과,"전부터 계속 민원 넣던 하운드가든앤테라스호텔, 하운드시그니처 호텔 입니다.

하운드가든앤테라스 지하에 위치해 있는 사무실 직원입니다.
소음 때문에 미쳐버리겠습니다. 언제까지 소음에 시달려야합니까??
안그래도 업무때문에 스트레스 받아 미치겠는데, 소음 때문에 눈돌아갑니다.


소음 측정 빨리해주세요.
지하실은 진짜 미칩니다.","1. 환경보전을 위한 귀하의 관심과 노력에 감사드립니다.
2. 귀하의 민원내용은 우동 642-1 우동 오피스텔 신축공사장 소음 등으로 관한 것으로 판단됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 2022. 12. 27.(화) 소음측정코자 사업장 방문하였으나 소음이 미비하여 측정을 미실시 하였으며, 공사 관계자에게 현장 내 작업시간 조율 및 저소음 공법 사용 등 행정지도 하였습니다.
나. 향후 지속적인 현장점검을 통하여 환경 관련법령 준수여부를 확인하여 인근 주민들의 불편이 최소화 될 수 있도록 노력하겠습니다.
4. 기타 궁금하신 점이 있으시면 해운대구 환경위생과(☎749-4395)로 문의하여 주시면 성실히 답변 드리겠습니다. 감사합니다."
해운대 다온 한정식 식당에서 일어난 정말 어처구니가 없는 일,2022-12-22,답변완료,교통환경국 환경위생과,"안녕하십니까?
저는 2022년 12월 20일 저의 모친의 추모예배를 저녁 7시에 다온 한정식 식당에서
개최한 해운대 구민입니다. 저의 모친이 올해 12월 5일에 미국에서 여든 두 살에 돌아가셨기 때문에
부득불, 미국에 갈 수 없는 친척과 친지를 위하여서 12월 20일 추모예배를 열기로 하였습니다.
그래서 해운대에서 유명한 한정식 식당인 ‘다온 한정식’에서 저의 모친 추모예배를 열게 되었습니다.
일인당 4만5천이나 하는 음식을 주문해서 20분이 참석해서 모친의 추모예배를 무사히 잘 마쳤습니다.
추모예배를 마치고 이틀 뒤에 추모예배에 참석하지 못한 친지로부터 조화를 잘 받았는 지를 묻는 안부전화가 왔고,
우리가 조화를 받지 못했다고 하자. 저의 친지가 다온 식당에 전화를 한 결과,
조화를 받은 다온 식당 직원의 실수로 조화를 전달하지 못했다고 말하는 것이었습니다.
그래서 다시 저의 친지가 강력하게 항의를 하자, 2022년 12월 22,일 저녁 6시 24분에 다온 한정식관계자로부터 전화가 왔습니다.
답을 하기를 다온 식당도 잘못이 있지만, 조화가 도칙하였는 지를 묻지 않은 저의 쪽의 책임을 물으면서,
조화꽃 값은 변상할 수 없고, 우리가 다시 다온 식당을 방문하면, 서비스(?)를 주겠다는 다소 황당한 답변을 하였습니다.
추모 예배를 한 20일은 평일 화요일이어서 손님이 많지 않았고, 추모예배를 드리는 팀은 저의 한팀 밖에 앖었습니다.
그럼에도 불구하고, 식당에 조화가 왔는데, 조화의 전달을 못한 것을, 저의 측이 고지하지 않았기에 때문이라고 하면서,
책임을 회피하는 행위는 저의 모친의 추모하러 오신 추모객을 무시하는 행위이며 ,
슬픔으로 인해 경황이 없는 유족에게 다시 상처를 주는 미숙한 대처하고 생각합니다.
다온 식당은 정말 죄송한 마음이 있다면, 말로만 미안하다는 립서비스를 하지 마시고,
유족들이 납득할 만한 조치를 취해 주실 것을 간곡히 부탁드립니다.","1. 안녕하십니까? 귀하께서 신청하신 민원(202212221956215695)에 대한 검토결과를 다음과 같이 알려드립니다.

2. 귀하의 민원 내용은 「다온 불친절 서비스」에 관한 것으로 이해됩니다.

3. 귀하의 민원사항에 대해 검토한 결과는 다음과 같습니다.
- 해당 민원내용은 업주에게 전달하였으나, 식품위생법상 처리할 근거가 없어 단속이 어려운 점 양지 바랍니다.

4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 추가 설명이 필요한 경우 환경위생과 문종화주무관(051-749-4416)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
"센텀필상가 앞 센텀IS타워, 벽산1차, 큐비e센텀 교통 정체 해결",2022-12-22,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 경찰청
 * 이송(추천)사유 : 신호체계 관련

[담당자:장은영, 연락처:051-749-4551]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","제목처럼 밤낮 상관없이 정체가 되구요, 특히 퇴근시에는 건물주차장에서 도로에 진입하는데 1시간 이상이 걸립니다.
도로에 차가 결코 많아서 그런 것은 아닙니다.
불필요한 신호체계 때문입니다.
빨리 현장을 확인하시어 해결해 주시면 좋겠습니다.

신호등 생기기 전에는 큰 정체도 없었고, 문제 없었습니다.

이면도로에, 그것도 짧은 구간에 이런 신호체계를 만들어버리면 차량이 어떻게 다닐 수 있는지...

확인 부탁합니다.",없음
구 해운대역 뒷쪽 테크 미끄럼주의 조치,2022-12-20,답변완료,도시안전국 도시관리과,"해리담길 구해운대역 뒤 철길 테크길
아무생각없이 없이.건너다 보게 되었네요
요즘 같은 날씨 새벽서리에 테크바닥이 얼어 어르신이 미끄러질뻔 했어요~
눈이 안오는 부산이라 크게 신경을 쓰지 않아 다들 몰랐을거예요 저또한 그랬는데
오늘아침
옆에 사람이 없었다면 어르신 큰사고가 날뻔했네요
12대 낮에야 해가뜨고 마르지만 밤길이나 이른아침 지금도
8시인데도 서리로 인해 얇은 얼음막이 얼어 미끄럼 사고가 발생할수도 있습니다
내리막길 미끄러져 도로까지 간다면 더큰사고가 될것이고
갑작스러운 눈이라도 온다면 통행을 막아야 할수도 있습니다. 큰 사고가 나기전에 빠른 조치부탁드립니다","1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “우동 524-16번지 목재데크 미끄럼방지요청”에 관한 것으로 이해됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 우리 구는 안전한 보행환경 조성을 위해 힘쓰고 있으며, 도로 노후 정도, 구 재정여건 등을 종합적으로 검토하여 예산확보 등을 통해 순차적으로 정비를 실시하고 있습니다.
나. 건의해주신 현장에 대하여 추후 예산반영 등을 통해 정비방안을 검토 후 조치하겠음을 알려드리오니 이 점 양지하여 주시기 바랍니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 도시관리과 이성도 주무관(☏051-749-4681)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 새올상담민원 1부. 끝."
주민센터 자치 프로그램 강좌 접수방법개선 요청,2022-12-20,답변완료,좌2동,"좌2동 주민센터에서 오늘 부터 시행되는 주민 자치프로그램 접수방법을 개선요청합니다

1. 접수방법이 선착순으로 되어있어 아침 7시경 부터 접수를 위해 대부분 고령자가 추운 엄동설한 겨울에도 불구하고 두터운 외투를 걸치고
주민센터 밖에서 덜덜떨면서 긴 대기줄을 만들어 기다리는 모습을 출근하면서 보는 주민의 한사람으로 안타까운 마음이 들어 접수방법에 대해 개선 요청합니다.

2. 최근 고령인구의 급격한 증가로 인해 여가 활용으로 주민센터 강좌를 많은 고령자들이 적극적으로 참여할려는 추세로 특히 인가가 많은 강좌의 경우 높은 경쟁률로 인해 대다수의 사람들이 기회를 가지지 못하여 불만의 소지가 많아보입니다 따라서 특정 강좌에 대해 횟수제한을 하여 많은 동민들이 고루 참여가 가능하도록 방법을 강구해주시기 바랍니다.","1. 동 행정에 관심을 가지고 의견주심에 감사드리며, 귀하께서 문의하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.

2. 귀하께서는 주민 자치프로그램 접수방법의 개선이 필요하다는 의견을 주신 것으로 이해가 됩니다.

3. 먼저, 기존의 선착순 접수방법은 수강생들이 가장 선호하는 방식에 따라 시행된 것이며, 추후 수강생 여론조사를 통하여 추첨제 도입 혹은 기존 방법 유지 등의 다양한 접수방법에 대해 논의해 보겠습니다. 또한, 대다수의 주민들이 프로그램 수강의 기회를 가질 수 있는 방법을 강구해보겠습니다.

4. 앞으로도 내실 있는 주민자치 프로그램 운영을 위해 노력하겠으며, 추가 설명이 필요한 경우 행정복지센터 담당자(☎051-749-6752)에게 연락주시면 친절히 안내해 드리도록 하겠습니다.

붙임 1. 2022년12월26일-a0-민원상담목록번호256829. 끝."
가로수 정비,2022-12-20,답변완료,교통환경국 늘푸른과,"우리 그린시티내 가로수들이 수령이 상당하여 하절기때에는 푸른 신록이 즐비하여 보기도 시원하고 좋은 반면 교차로부근 이정표 및 신호등을
가려서 관광특구인 해운대를 방문하는 외지인 운전자들이 이정표가 나뭇잎에가려져 목적지까지 운전하는데 상당한 방해요소가 있다고 합니다 겨울철에 나뭇잎이 다 떨어진 지금 신호등 과 이정표를 가릴만한 나무가지를 작업여건이 좋은 지금 미리 잘라 하절기를 대비해봄 어떨까싶어 제안해봅니다","1. 구정 발전을 위한 의견주신 귀하께 감사의 말씀드리며, 신청하신 민원[접수번호 256834]에 대한 검토결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 이정표를 가리는 가로수 가지치기 요청으로 판단됩니다.
3. 그린시티 내 가로수는 12월 내 좌동순환로 및 세실로, 청사포 등 전정 완료하였음을 알려드리며 이정표 등을 가리는 가지의 경우 추후 순찰하여 수목의 수형을 고려 후 전정토록 하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 늘푸른과 푸른도시팀(☏749-4535)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임: 2022년12월28일-a0-민원상담목록번호256834. 끝."
주민들의 안전에 무관심한 해운대구청의 행정과 형식적이고 무성의한 민원 응대,2022-12-19,답변완료,도시안전국 도시관리과,"통행로가 없어 차도로 내몰리는 유치원생들과 주민들의 안전에 대한 무책임성 행정으로 위험에 처한 민원에도 불구하고 형식적 답변으로 일관하며 아무런 조치도 하지 않는 구청의 행정.
※ 해운정사의 주민 토지 강제수용( [첨부1] 방송파일 참조), 기존 주민도로 폐쇄, 절 진입로 자동차도로 개설(100여미터) 허가.
※ [첨부1] 방송파일 스마트폰 재생 방법 : 플레이스토어에서 WMA Music Play 다운로드하여 재생

과거 2005년, 해운대구 우1동 소재 ‘해운정사’는 절 진입도로(차량전용도로)를 새로 낸다며 버드네유치원 및 주민들이 이용하던 기존주민도로(우1동400-1, 432-11, 1149-16, 다음장 사진참조)를 불법으로 폐쇄 하였습니다. 더군다나 새로 낸 절 진입도로에는 통행로가 설치되지 않았는데 유치원생들과 주민들 특히 노인들은 현재까지도 사고 위험에 노출되어 왔습니다. 이에 유치원측과 인근 주민들은 안전한 인도를 갖추어 달라는 민원을 구청으로 여러 차례 제기하였으나 형식적인 답변만 되풀이 하고 있습니다.

이와 관련 구청장님 접견(2022.11.2.), 유치원 연합회 건의사항 요청 회신(2022.11.23.) 답변에 의하면 (안전한 계단 및 횡단보도(건널목) 시설을 설치할 공간이 충분함에도 불구하고 주민들이 인도 설치를 요청한 도로구간과는 전혀 관계없는 엉뚱한 도로구간을 언급하며) “도로 공간이 부족하여 인도 설치가 불가하다” 는 억지 주장으로 민원인들의 요구를 회피 하였습니다.

더군다나 민원인들은 인도를 설치하는 방법 외에도 계단을 설치하는 방안까지 직접 제시 하였지만, 관련 공직자는 이마저도 “계단을 설치할 경우 보행자와 통행차량간의 충돌위험이 예상되어 교통사고 발생 위험이 높아진다” 는 황당한 답변으로 주민들의 요청을 일방적으로 무시 하였습니다.

구청의 답변대로라면 교통사고 발생 위험이 높아질 우려가 있어서 계단을 설치할 수 없다는 것인데, 그렇다면 과거 2005년에는 왜 유치원 진입로 및 주민들이 이용하던 멀쩡한 도로를 관련법령을 어겨가면서까지 불법으로 폐쇄하고 ‘해운정사’를 위한 차량전용도로 공사를 강행하여 유치원생들과 주민들을 교통사고 위험으로 내 몰고 있습니까, 그리고 왜 현재까지도 위험을 그대로 방치하고 있는 것입니까.
※ 유치원 및 주민들은 없었던 길을 내달라는 것도 아니고, 100년도 넘게 주민들과 해운대 중·고등학생들이 통학로로 사용하던 기존도로를 1149-16번지와 연결, 계단 및 횡단보도 및 스쿨존 지정을 해 달라는 것임.

구청은 법과 원칙에 따른 정직한 행정으로 주민들이 안전하게 생활할 권리를 지켜줄 의무가 있습니다. 이에 대하여 유치원 관계자, 학부모 및 인근 주민들의 의견을 충분히 듣고 보행자 안전을 위한 방안을 신속하게 마련해 주시기 바랍니다.

[첨 부]
1. 잘못된 행정을 질타하는 MBC 시사 프로그램 1부(방송파일) 1부.
2. 1990년 해운정사 주변 모습 1부.
3. 기존주민도로(우1동 400-1) 주변, 지적도 1부. 끝.

※ 첨부파일 :
[첨부2] 1990년 해운정사 주변 모습.hwpx
[첨부1] 잘못된 행정을 질타하는 MBC 시사 프로그램 방송파일.wma
[첨부3] 기존 주민도로 우1동400-1 주변 및 지적도.hwpx","1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “우동 1149-15번지 일원 과속방지턱설치 요청”에 관한 것으로 이해됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 과속방지턱은 「도로안전시설 설치 및 관리 지침」에 따라 도로 상 차량의 통행속도를 30kmh 이하로 제한이 필요한 경우(구간)에 한하여 설치토록 되어 있습니다.
나. 건의지에 대하여는 관할서 협의 등을 거쳐 과속방지턱 설치 가능 여부 등을 검토하겠음을 알려드리오니, 이 점 양지하여 주시기 바랍니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 도시관리과 최혁준 주무관(☏051-749-4684)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 새올상담민원 1부. 끝."
마리시티 오렌지 상가 앞 노점 트럭,2022-12-17,답변완료,교통환경국 주차행정과,"마린시티 제니스와 월드마크 사이, 오렌지 상가 앞 횡단보도에 양쪽으로 저녁부터 노점 트럭이 주차를 해서 차들이 한 차선을 차지해 결국 양쪽으로 총 네 개의차선을 이용하지 못하고 두 개의 차선만 이용할 수 있어 트럭들 때문에 불필요한 차선 변경을 해야해 교통흐름이 원활하지 못합니다. 거기에 트럭이 불법 주차할 수 없게 조치를 취해주세요. 더불어 불법 주정차 단속도 자주 되었으면 합니다.

※ 첨부파일 :
F9B07A3E-F68F-4ADA-9187-0222336DA2BF.jpeg
FC2DB374-A33E-4A7A-B7D2-A966700538EB.jpeg
6BA1BA09-481E-40C4-8C2D-C26BF09D599F.jpeg","1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 우동 1446(마린시티 오렌지상가 앞 도로변) 일대 노점차량의 불법주정차 행위에 의한 주민불편으로 판단됩니다.
3. 요청하신 민원사항을 현장단속반에 전달하였으며, 해당 현장에서 12.20. 신고하신 노점 차량들을 발견하여 행정계도 및 이동조치 완료하였습니다.
이후에도 야간순찰시 해당 구역을 적극 주시하고 있으며, 동일한 불편이 최소화 될 수 있도록 더욱 노력하겠습니다.
4. 또한 횡단보도 및 교차로모퉁이 등 5대 주정차금지구역 내 주정차량의 경우, 주민신고제(안전신문고 앱 사용)를 통한 신고 시 즉시 과태료 부과가 가능한 점 안내 드리오니 참고 부탁드립니다.
※해운대구 불법주정차 주민신고제 안내 : https:www.haeundae.go.krindex.do?menuCd=DOM_000000102005006004
5. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 주차행정과 주무관 이도욱(☏051-749-4565)에게 연락주시면 안내해 드리도록 하겠습니다. 감사합니다.

붙임 1. 2022년12월27일-a0-민원상담목록번호256575.
2. F9B07A3E-F68F-4ADA-9187-0222336DA2BF.
3. FC2DB374-A33E-4A7A-B7D2-A966700538EB.
4. 6BA1BA09-481E-40C4-8C2D-C26BF09D599F."
"부산 해운대구 APEC로 17, 센텀리더스마크 건물 불법용도 영업",2022-12-17,답변완료,도시안전국 건축과,"필라테스
필라테스 바디 1105호
줄리아나 필라테스 1503호
070-8775-3444 다온필라테스

요가
아난다요가 2606호
요가스튜디오 숨 1407호

기타
몸사랑 바른 체형센터 3104호

올바른 용도로 영업중인지 확인해주세요","구정 발전에 관심을 가져주심에 감사드리며, 귀하께서 신고하신 우동 1514번지 센텀리더스마크 1503호 등 6개소 무단용도변경 관련 건축법 위반사항에 대하여 다음과 같이 답변 드립니다.
1. 우동 1514번지 센텀리더스마크 내 현장 확인하여, 필라테스 바디(1105호), 요가스튜디오 숲(1407호), 줄리아나 필라테스(1503호), 다온 필라테스(1901호), 아난다 요가(2606호) 및 몸사랑 바른체형센터(3104호) 무단용도변경 사항에 대하여 건축법 제19조(용도변경)위반으로 행정조치을 알려드립니다.
2. 기타 궁금하신 사항이 있으시면 건축과 김종준(☏.749-4582)로 문의하여 주시면 친절히 안내해 드리겠습니다. 감사합니다. 끝."
