제목,작성일,답변상태,담당부서,민원내용,답변내용
엄광로312번길 불법주정차 단속 강화요청,2024-06-19,답변완료,안전교통국 주차관리과,"안녕하세요 엄광로312번길 불법주정차 단속 강화 요청드립니다.
(가야탑마트(엄광로 311)앞 도로)

집에 가려면 매번 이 길을 지나 가야하는데 양쪽으로 불법주정차 때문에 지나다니기 너무 힘듭니다.

양쪽 불법주정차로 인해 조심히 지나다니다가 결국 접촉 사고 났습니다. 불법 주정차인데 불구하고 저의 과실이 너무나 커서

300만원 이상의 수리비가 나왔습니다 이미 벌어진 사건에 대해선 해결 방법이 없지만 불법 주정차를 강화한다면 이런일이 생기지 않겠지요

사고 일어난 이후로도 해당 길을 지나 다녀야하지만 사건이 일어난 이후기에 ptsd와서 해당 길 지나다닐때마다 스트레스 받아서 정신병 걸린것 같습니다.

아예 사라지는거까진 바라지도 않으며 제발 한쪽길만 주정차하던지,,하여 지나다닐때 통행에 방해가 되지않게 불법 주정차 제발 단속 좀 부탁드립니다. 원래 민원같은거 절대 절대 안하는 사람인데 지나다닐때마다 스트레스 받아서 죽고싶습니다

개선이 될때까지 민원신청 할것이며 나아가 sns 피해 심각성을 널리 알리겠습니다.","1. 귀하께서 신청하신 엄광로 311 가야탑마트 앞 도로 불법주차 단속 민원에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 해당 구역은 교차로 모퉁이, 횡단보도, 인도 등 통행에 불편을 주는 불법주정차 차량을 계도·단속 실시하겠으며, 도로 교행이 어려울 시에는 평일(09:00~18:00)에는 주차관리과(☎605-4561~7), 저녁시간(18:00~22:00)에는 구청 당직실(☎605-4222)로 연락주시면 불편 사항을 해소할 수 있도록 신속하게 조치가 가능하오니 참고 부탁드립니다.

3. 답변 내용에 대한 추가 설명이 필요한 경우 부산진구 주차관리과 정소영 주무관(☎051-605-4564)에게 연락주시면 안내해 드리도록 하겠습니다. 감사합니다. 끝."
가남초등학교 맞은편 인도에 공사후 벽돌방치건,2024-06-18,답변완료,안전교통국 도로관리과,"부산진구 가야동 가남초등학교 맞은편 인도에
공사후 큰 벽돌이 며칠전부터 있어
통행에 불편과 사고우려로 민원신청합니다
빠른 조치 바랍니다

※ 첨부파일 :
도로1.jpg
도로.jpg","부산진구 홈페이지의『새올전자민원창구 민원상담』에 게재된 상담민원에 대하여 아래와 같이 답변하고자 합니다.

1. 민 원 인 : 엄 O O
2. 민원내용 : 노상적치물 정비 요망
3. 접수일(처리기한) : 2024.6.18.(24.6.26.)
4. 답변내용
○ 구민과 소통하는 봉사행정을 실천하는 부산의 중심, 도약하는 부산진구입니다.
○ 먼저, 해당 지역 노상적치물로 인해 귀하께 생활 불편을 야기한 상황에 대하여
양해의 말씀을 드립니다.
○ 귀하께서 제기하신 가야동 12-286번지 인근 경계석 등 관련한 민원사항에 대하
여 2024년 6월 21일 현장 단속 후, 수거 조치하였음을 알려드립니다.
○ 이 밖에 궁금하신 사항은 도로관리과 서희종 주무관(☎605-4715)에게 연락주시
면 친절하고 성실히 답변 드리겠습니다. 감사합니다. 끝."
송상현광장 바닥분수,2024-06-18,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 부산시설공단
 * 이송(추천)사유 : 해당 민원은 귀 기관에서 처리할 사항으로 판단되어 민원처리에 관한 법률 제16조에 따라 이송합니다.

[담당자:이다정, 연락처:051-605-4294]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","5월 11일부터 계속 점검중이라고 가동이 안되고 있는데 언제부터 가동이 되는지 궁금합니다.


부산시설공단 별도 가입을 해야 고객의견 남길 수 있어 구청민원에 남깁니다.",없음
범내골역 부근 '서면스테빌리움2차오피스텔' 분양 홍보 도우미들의 지나친 호객 행위,2024-06-17,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 경찰청
 * 이송(추천)사유 : 호객행위 관련 민원으로 해당 내용은 귀 기관에서 처리하여야 할 사항으로 판단되어 이송합니다.

[담당자:이다정, 연락처:051-605-4294]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","최근 범내골역 부근에 있는 건물 서면스테빌리움2차오피스텔이 완공되어 분양 도우미 분들이 분양 관련 홍보 활동을 많이 하고 있습니다.
근처에 거주하는 주민인 저는 맨날 그 근방을 지나치게 되는데, 지나갈 때마다 도우미 아주머니들이 정도가 지나칠 정도로 호객 행위를 합니다.
홍보물 받기를 거부하는 의사를 표했음에도 불구하고 제 팔을 계속 잡고 안놔준다던가, 지하철 역 아래 계단까지 끝까지 쫓아와서 홍보물을 쥐어준다거나
몇달 며칠을 시달리다가 도저히 참을 수가 없어서 민원을 접수합니다. 저뿐만 아니라 다른 나이 드신 어르신들한테도 강제로 홍보물을 쥐어주는 것도 몇번이나 목격했습니다. 홍보 활동을 해야 하는 건 알겠는데, 주변에 거주하는 주민들에게 민폐 좀 끼치지 말고 사람들에게 짜증을 주지 않는 선에서 홍보활동을 했으면 좋겠습니다.
의견을 들어주셔서 감사합니다.",없음
서면역 6번출구 옆 인도 불쾌감조성,2024-06-17,답변완료,안전교통국 도로관리과,"인도 중앙에 각종 잡동사리를 펼쳐두고
버스정류장쪽에는 폐가전제품들을 쌓아놓음.
불쾌감을 주는 물건들을 인도에 나열해둠.
도로교통과에서 빠른시일내에 처리해주시길 바랍니다.

※ 첨부파일 :
1718605997607.jpg
1718605997553.jpg
1718605997681.jpg","부산진구 홈페이지의『새올전자민원창구 민원상담』에 게재된 상담민원에 대하여 아래와 같이 답변하고자 합니다.

1. 민 원 인 : 임○○
2. 민원내용 : 서면역 6번출구 노상적치물 단속 요청
(412137, 412823, 412928, 413068 동일민원)
3. 접수일(처리기한) : 2024.6.17.(2024.6.25.)
4. 답변내용
○ 구민과 소통하는 부산의 중심, 도약하는 부산진구입니다.
○ 먼저, 노상적치물로 인해 귀하께 생활 불편을 야기한 상황에 대하여 양해의 말씀을 드립니다.
○ 귀하께서 제기하신 해당 지역 노상적치물과 관련한 민원사항에 대하여 6월24일 정비 실시하였음을 알려드리며, 잔여물은 관련부서와 협조하여 추가정비토록 하겠습니다.
○ 이 밖에 궁금하신 사항은 부산진구 도로관리과 임경순주무관(☎605-4714)에게 연락주시면 친절하고 성실히 답변드리겠습니다. 감사합니다. 끝."
"음식물쓰레기 , 일반쓰레기 무단투기가 진행중인 장소 정비요청",2024-06-17,답변완료,문화경제국 자원순환과,"음식물쓰레기 , 일반쓰레기 무단투기가 현재도 계속 진행중인 장소입니다.

무단투기 장소를 몇번 대형 일반쓰레기 봉투로 2회 구매후 청소를 해봤지만 계속해서 무단투기가 진행됩니다.

감당을 할수가 없는 상황이라서 상담민원 신청드립니다.

사진에서 보시면 10일 만에 이렇게 늘어났습니다.

또한 무단투기 정비요청드립니다.

※ 첨부파일 :
쓰레기2.JPG
쓰레기1.JPG
쓰레기3.JPG","1. 『부산의 중심, 도약하는 부산진구』입니다. 귀하께서 신청하신 민원 처리 결과를
다음과 같이 알려드립니다.
2. 귀하께서 제보하신 위치 연지로9번길 41(양정동 138-16)은 사유지로 판단됩니다.
3. 따라서, 해당 장소 관리자에게 적치된 폐기물에 대한 사실 관계를 확인한 후 민원
사항을 전달하고 행정지도를 조치토록 하겠습니다.
4. 다른 문의사항이 있으신 경우 부산진구 자원순환과 황진이 주무관(☏051-605-4467)로
연락주시면 친절하게 안내해 드리겠습니다. 감사합니다.


붙임 1. 2024년6월19일-a0-민원상담목록번호411963. 1부.
2. 위치도 및 현장사진 1부. 끝."
도로 페인트 조치부탁드립니다,2024-06-16,답변완료,안전교통국 교통행정과,"시민공원을 자주 이용하는 진구시민입니다.
트레이더스차량 출차쪽인곳과 공사중인 경남아너스빌 사이의 길이 너무 혼잡합니다.
바닥페인트칠이 엉망진창이여서 유턴차선과 직진차선 구분없이 사용중이며,
그나마 주말에는 트레이더스 직원들이 나와 교통통제를 하며 혼잡함을 막아주었습니다.
그러나 경남아너스빌 공사가 진행되며 도로에 각종 적재물과 지게차가 왔다갔다하여 트레이더스측에서도 도저히 교통통제를 할수가 없답니다.
트레이더스에는 더이상 전화하여 조치해달라고 하기에도 민망합니다.
자기땅이 아니지만 어느정도의 책임감을 가지고
주정차미단속과 바닥페인트가 지워져 혼잡한곳을 통제하여 원활하게 이용가능하게끔 노력해보겠다고 답변하여 더이상 전화도 못하겠습니다.
제발 시민공원 자주 애용하는 한명의 부산진구 시민으로써 강력하게 조치 부탁드립니다.

1. 바닥페인트를 명확하게 그려주세요.
바닥페인트가 앞의 유턴차선까지 그려져있지도않고 대부분 다지워져있습니다.
여기서부터 벌써 차량 혼잡이 어마어마하게 시작됩니다.

2.주정차차량 단속을 강력하게 해주세요.
매번 우측에 차량이 주정차 되어있어서 직진차선으로 가려면 앞으로 갈수가없습니다.

이번에는 이렇게 민원을 조치해주셨으면 좋겠습니다.
제대로 조치가 되지않을경우 저희 진구사랑밴드의 모든 회원들과 공유하여 민원을 올리도록 하겠습니다.

※ 첨부파일 :
2.jpg
1.jpg
3.jpg","1. 우리 구 교통행정에 많은 관심을 가져주셔서 감사드립니다.
2. 귀하의 민원 내용은 ‘노면표시 재도색’에 관한 것으로 판단됩니다.
3. 귀하께서 건의하신 해당 구간을 우리 구 차선도색 정비 일정에 포함하여 순차적으로 정비할 예정임을 알려드립니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 부산진구청 교통행정과 백상철 주무관(☏051-605-4557)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.
-------------------------------------------------------------------
[협조부서] : 안전교통국 주차관리과 [답변일자] : 2024-06-20 16:25:58
[작성자] : 정소영 [전화번호] : 051-605-4564 [이메일] : apeach77@korea.kr
[답변내용] :
1. 귀하께서 신청하신 “불법주정차 강력 단속 요청” 민원에 대하여 다음과 같이 답변드립니다.

2. 해당 구간(이마트트레이더스와 경남아너스빌 공사장 사이 도로)은 불법주정차 단속CCTV로 단속 중인 구간이며, 현장 단속반을 통해서도 불법주정차에 대한 계도 및 단속을 진행하도록 하여 도로 교행 시 불편함을 최소화할 수 있도록 조치하겠습니다. 도로 교행이 어려울 시, 주말(10:00~18:00)에는 구청 당직실(☎051-605-4222)로 연락주시면 신속한 조치가 가능하오니 참고 부탁드립니다.

3. 답변 내용에 대한 추가 설명이 필요한 경우 부산진구 주차관리과 정소영 주무관(☎051-605-4564)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.


붙임 2024년6월21일-a0-민원상담목록번호411641 1부. 끝."
방역 민원 드립니다,2024-06-15,답변완료,보건소 보건행정과,"안녕하세요고생하십니다
양지로 11번길 30에 거주하고있는 사람입니다.날씨가 따뜻해지면서 바퀴벌레가 많이 나오고 있어서 방역 민원 드립니다
건물에도 있고 건물 주변 공터에도 많이 있는거 같아요.방역 부탁드립니다","1.안녕하십니까? 귀하께서 신고하신 민원(민원번호202406150935065806)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원 내용은 “양지로11번길 30 일원 방역요청”에 관한 것으로 판단되며 조치 결과는 다음과 같습니다.

○ 귀하께서 신고하신 해충 발생 지역은 2024. 6. 21.(금)에 ‘차량 동력분무, 연무, 살충제 투여’ 등의 방법으로 주변 소독을 실시하였습니다

3. 기타 궁금한 사항 및 방역소독 관련 불편사항은 부산진구보건소 감염병대응계 한미루 주무관(☎605-6007)에게 문의하여 주시면 신속히 처리하도록 하겠습니다.

붙임 2024년6월21일-a0-민원상담목록번호411378. 끝."
당평초등학교 앞 공사 관련 요청,2024-06-14,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 부산광역시
 * 이송(추천)사유 : 건설본부 소관

[담당자:서현지, 연락처:051-605-4661]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","당평초등학교에 등원하고 있는 자녀가 있어 아침마다 같이 등교를 시켜주고있습니다.

최근들어서 학교 공사로 인해서 초등학교 앞 도로 부분에 흙이 많이 쌓여 있는걸 볼 수 있습니다.

통행하는 차들로 인해 차가 지나가고 나면 주변은 흙먼지로 뿌옇게 되어 보행시 많은 에로사항이 있습니다.

등교하는 시간동안 만이라도 물을 뿌리든지 해서 흙먼지를 최소화 시켜주셨으면 좋겠습니다.

물뿌리는것 외에 다른 방법이 있다면 조치부탁드립니다.",없음
양정청소년수련관 앞 택시기사 불법주정차 및 흡연,2024-06-14,답변완료,안전교통국 주차관리과,"양정청소년수련관 근처로 해서 양정슈퍼 사거리까지 택시기사들의 불법 주정차들이 너무 많습니다.

사거리 길을 건널 때도 불법 주정차 때문에 도로에 차가 오고있는지 안오는지 파악도 힘들고요. 사고도 날뻔했습니다.

옹기종기 모여서 담배를 피는데 청소년수련관 방문하는 저희 아이가 간접흡연까지 해야된다니요..

어린이 센터랑 청소년수련관 앞에서 불법주정차 및 흡연이 이해가 안갑니다..

빠른 조치 부탁드리겠습니다","1. 귀하께서 신청하신 불법주차 단속 민원에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 먼저, 불법주정차로 불편을 드려 죄송합니다. 해당 구역(양정청소년수련관 근처 양정슈퍼 사거리)은 민원 불편 사항에 따라 불법주정차 계도 및 단속으로 조치하고 있으나 쉽게 근절되지 않고 있어 현장 단속반이 수시로 계도 및 단속을 추진하여 불편함이 개선될 수 있도록 지속해서 노력하겠습니다.

3. 답변 내용에 대한 추가 설명이 필요한 경우 부산진구 주차관리과 정소영 주무관(☎051-605-4564)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
--------------------------------------------------------------------
[협조부서] : 보건소 건강증진과 [답변일자] : 2024-06-21 17:01:55
[작성자] : 백소영 [전화번호] : 051-605-5947 [이메일] : star6658@korea.kr
[답변내용] :
1. 평소 부산진구 금연 환경 조성을 위하여 관심을 가져주셔서 감사드리며 귀하께서 국민신문고에 신청하신 민원내용에 대하여 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 양정청소년수련관 및 부산진구 아동보호전문기관 주변 흡연개선으로 이해됩니다.

가. 귀하께서 말씀하신 장소의 횡단보도 5m 이내 구역은「부산광역시 금연환경 조성에 관한 조례」에 따라 흡연 시 과태료 5만원이 부과되는 법적 금연구역에 해당합니다. 다만, 그 외의 구역은 금연구역이 아니므로 단속이 어려움을 알려드립니다.

나. 부산진구 금연단속반이 현장을 방문하였고 금연구역내 흡연자가 없어 단속은 이루어지지 못하였으나 횡단보도 주변에 흡연 시 과태료 부과와 법적 안내사항이 조금 더 명확하게 인지될 수 있도록 스티커를 부착하였음을 알려드립니다.

3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우 부산진구보건소 건강증진과 금연단속 주무관(☎605-5947)에게 연락주시면 친절히 안내해드리겠습니다. 감사합니다.

붙임 2024년6월21일-a0-민원상담목록번호411258. 끝."
엄광산 청수 약수터 옆 정자 마루칠과 가야공원 쓰레기 문제 건의드립니다,2024-06-14,답변완료,도시관리국 공원녹지과,"1..먼저 엄광산 청수 약수터 옆 정자마루 칠이 10년이 넘도록 칠을 안하여 여러번 문의한바 곧 해준다고하고 몇년째 미루고 있습니다

2.화장실옆 정자는 자주 칠하고 엄광산 의자들은 잘 자주 칠해 주면서 이곳 정자만 칠을하지 않는 이유를 모르겠습니다 2달전에 관계 공무원
을 이곳에서 만나서 부탁한즉 즉시 해주겠다고 하고 가셨는데 연락도 없고 칠을 해주지 않고 있습니다 여름 하지 등산객들이 이곳에 많이
오셔셔 보기 딱합니다

3. 2023 .10.2 공개 민원상담 하고 빠른시일내에 해 주신다고 약속한지 약 9개월인 되어도 그대로 방치하고 있습니다 (202310021631221872)
즉시 우번호를 확인하시고 정자칠과 옆 썩은 나무들을 교체하여 줄을 연결하여 주시면 합니다

4.그리고 2024년 4월15일에 공원녹지과에서 가야공원을 깨끗이 청소하고 가셨는데 자세히 보니 도보만 잘 청소하고 나무숲사이로 하나도 쓰
레기 청소를 안하여 동네 주민들이 나와서 약2달동안 봉고차 3대분 정도 숲속쓰레기들을 계속치우다가 지쳐서 못하겠다고 방치한 쓰레기들을
마져 치워주시면
합니다 남아있는 쓰레기들이 약 2차는 되는것 같습니다

5.벽산아파트 118동 뒷편 운동시설 맞은편 다리입구 前 숲속사이에 많은 쓰레기들을 주민들이 치우다 그대로 방치한 쓰레기들과 아래 첨부파일
사진들입 니다 속히 치워 주시어 가야공원이 좋은 휘트니스가 되길 바랍니다

6.그리고 이곳 가야공원내 cctv를 몇개달아서 경고와 감시를 해야지 온갖 사람들이 다니면서 쓰레기 장으로 만들고 있습니다 참고하시기를 바
랍니다

7.공원입구쪽 공원입구집 식당앞을 철이나 파이프 등을 박아서 필요시 자물통등을 사용할수 있도록 하여 차가 못들어가게 해야 합니다
외부차들이 쓰레기를 싣고와서 약 2대분 정도 버리고 간것 같습니다 확인하시고 고려하여 주시면 합니다

8.봉정사 절에서 위 산쪽으로 에어청소기(먼지털이) 에서 약 80m소방도로로 올라가면 약7일전 부터 대량쓰레기를 양쪽도로에 누가 버리고 갔습
니다 속히 치워 주시면 합니다

9.엄광산 청수약수터옆 정자밑에 2달전에 파이프 물나가는곳 막힌곳에 흙덩이를 다 치워 주셨는데 또 막혔습니다 비가오면 바로 막히는곳입니
다 막힌흙을 속히치워 주시고 무슨 방법을 한번 연구해 보심이 좋을듯 합니다 비오고나면 바로 흙이막혀서 물이 위로흘러서 자연을 훼손하고
있습니다

※ 첨부파일 :
KakaoTalk_20240614_172309935.jpg
KakaoTalk_20240614_172309636.jpg
KakaoTalk_20240614_172310642.jpg","○ 평소 구정에 관심을 가져 주신데 대하여 감사드립니다.
○ 귀하께서 요청하신 민원사항에 대해 다음과 같이 알려드립니다.
1,2,3) 엄광산 청수약수터 옆 정자 도색은 현재 기간제근로자를 활용하여 산지별로 순차적으로 편의시설 도색작업 실시 중에 있으므로 빠른 시일 내에 정비하도록 하겠습니다.
4,5) 벽산아파트 118동에서 가야공원 사이의 무단투기 쓰레기는 토지소유자, 주민센터 등과 협의하여 조치할 예정임을 알려드립니다.
6) (자원순환과 답변완료)
7) 가야공원 입구집 앞은 도로로써 시설물 설치는 불가합니다.
8) 봉정사 위 먼지털이기 주변 무단투기 쓰레기는 정비완료 하였습니다.
9) 해당지역은 빠른 시일 내에 정비토록 하겠습니다.
○ 기타 궁금하신 사항은 우리 구 공원녹지과(☎051-605-4542)로 연락주시면 성심껏 답변 드리겠습니다. 감사합니다. 끝.

-------------------------------------------------------------------------------------------------------------
[협조부서] : 문화경제국 자원순환과 [답변일자] : 2024-06-20 11:16:07
[작성자] : 황진이 [전화번호] : 051-605-4467 [이메일] : hyeyum99@korea.kr
[답변내용] :
1. 『부산의 중심, 도약하는 부산진구』입니다. 귀하께서 신청하신 민원 처리 결과를
다음과 같이 알려드립니다.
2. 귀하께서 문의주신 장소인 가야공원 내에 CCTV 등 영상단속 장비는 무단투기 발생 횟수, 주변 환경 등을 고려해서 장기적으로 검토할 사항임을 알려드립니다.
3. 기타 문의사항이 있으신 경우 부산진구 자원순환과 황진이 주무관(☏051-605-4467)
으로 연락주시면 친절하게 안내해 드리겠습니다. 감사합니다. 끝."
부산 부산진구 성지로113번길(41-1) 보도블럭 제거 요청,2024-06-14,답변완료,도시관리국 건설과,"안녕하세요.
부산 부산진구 성지로113번길 41-1 거주하고 있는 민원인입니다.
다름이 아니라 최근 주변 아파트 입주 하면서 최근 도로가의 보도블럭 설치 하는 공사를 진행 하고 있습니다 하여 아래와 같이 문제점 제시하오니 빠른 처리 부탁드립니다.
참고로 거주지 주민들의 의견을 수렴하여 공사 진행 여부 확인 하시길 바랍니다.
감사합니다

1. 거주지 차량 주차 문제 및 도보 불편
- 도로와 인도 구분을 하면서 기존에 차량 주차 할 곳이 없습니다.
- 각 가정의 노인분이 많아서 어른신들의 이동수단(보행기 등) 불편

2. 홍수시 물 빠지는 공간
- 차후 태풍,홍수 발생시 물빠지는 우수 배관이 없어 물 피해 발생

이상입니다.

※ 첨부파일 :
보도블럭2.jpg
보도블럭1.jpg","가. 평소 구정 발전에 많은 관심과 협조에 감사드리며, 귀하께서 접수하신 성지로113번길 관련 민원사항에 대하여 다음과 같이 답변드립니다.
○ 우선, 해당 도로(중로 2-282호선 등) 공사는 초읍2구역 주택재개발정비사업조합에서 시행 중임을 알려드립니다.
○「보도 설치 및 관리 지침」에서는 보도와 차도가 연접하여 설치되는 경우에는 차도와 보도의 경계를 명확하게 구분하고, 차도면보다 높게 하는 것이 바람직하며, 경계석은 보도와 차도를 구분하기 위해 보도와 차도의 경계부에 설치하는 것이며 주로 노면배수, 시선유도, 도로용지의 경계, 유지관리 및 청소 등의 편의를 위하여 설치한다고 규정하고 있습니다.
○ 통상적으로, 경계석과 보도면의 높이가 동일하게 설치하나, 해당 지역은 기존 건축물 출입 장애 등 현장 여건으로 인하여 경계석보다 보도면이 낮게 설치될 예정임은 양지부탁드립니다.
○ 아울러, 보도와 차도 사이 하수시설이 신설되었으며, 보도 포장에 따른 경사 또한 건축물에서 도로 쪽으로 형성되어있는 바 우천에 따른 침수 피해는 없을 것으로 사료됩니다.
나. 답변 내용에 대한 추가 설명이 필요한 경우, 부산진구청 건설과 도시계획계 김현나(☏ 051-605-4725), 하수계 박승배(☏ 051-605-4684)로 연락해 주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
